ID,ArrivalDate,ServiceDate,DepartureDate
77536340493318416139751838410792141572,2021-03-01 08:31:00.388225500,2021-03-01 08:39:46.865275200,2021-03-01 09:03:25.038497640
227073225062056368929523103321978731665,2021-03-01 08:31:03.451542000,2021-03-01 08:39:00.985439340,2021-03-01 08:39:44.799765840
327550339210320981802680705633782835492,2021-03-01 08:35:01.456978020,2021-03-01 08:46:09.796299540,2021-03-01 09:02:34.242547500
29106094238503267526832968845909402559,2021-03-01 08:37:02.309642220,2021-03-01 08:47:19.536823200,2021-03-01 09:12:44.500781580
207926512837867576824768412614637374335,2021-03-01 08:40:08.891779380,2021-03-01 08:47:01.768464240,2021-03-01 08:53:36.541165560
99027293984609818930590118955838624009,2021-03-01 08:41:04.090338960,2021-03-01 08:49:57.957623220,2021-03-01 09:12:58.530810840
116281408714096462728843584016614032490,2021-03-01 08:42:00.305949780,2021-03-01 08:51:17.921031660,2021-03-01 09:07:50.537812860
63931247100983260594108799208910511992,2021-03-01 08:43:09.499470240,2021-03-01 08:50:19.263989940,2021-03-01 08:54:44.082308400
243982978646946272818980209489945931585,2021-03-01 08:43:22.759822860,2021-03-01 08:52:44.546434260,2021-03-01 09:02:07.444207620
25983365053762630452734235320402652420,2021-03-01 08:46:12.490522560,2021-03-01 08:56:38.930968260,2021-03-01 09:36:03.211131840
141729595731640400416266830357542816158,2021-03-01 08:48:02.612903640,2021-03-01 08:57:49.625849100,2021-03-01 09:10:50.145652379
338004670668692268387715166412596133814,2021-03-01 08:48:23.219140860,2021-03-01 08:57:18.233747760,2021-03-01 09:20:22.984155780
72700031767238964558340802101553168324,2021-03-01 08:52:02.488596600,2021-03-01 09:01:18.085618620,2021-03-01 10:09:25.956335160
189699066269231501974059745780361820430,2021-03-01 08:52:02.895365580,2021-03-01 08:59:03.357199140,2021-03-01 09:31:38.405067660
277041418618356978692404091303714053091,2021-03-01 08:56:01.203905760,2021-03-01 09:04:41.745869460,2021-03-01 09:25:48.354886080
55354358747745662916894974722291995014,2021-03-01 08:57:00.713370900,2021-03-01 09:03:54.995670900,2021-03-01 11:41:25.119247440
61907257707017974649522713507947255337,2021-03-01 08:57:03.904241160,2021-03-01 09:04:27.028166700,2021-03-01 09:06:23.277366900
279295827279759754390932924321420264375,2021-03-01 08:59:01.693400880,2021-03-01 09:07:09.972555839,2021-03-01 09:32:42.011814419
67393869869013125356106505531994469597,2021-03-01 09:00:05.935449660,2021-03-01 09:07:57.353349540,2021-03-01 09:08:18.571411320
306804136483016506794600901686034215587,2021-03-01 09:00:10.020317580,2021-03-01 09:09:29.110227180,2021-03-01 09:09:58.090497120
298992490762128910576215735351489108185,2021-03-01 09:01:18.259576320,2021-03-01 09:10:17.523145440,2021-03-01 09:55:25.649049360
246372182314247255226532181934274993929,2021-03-01 09:02:24.239320920,2021-03-01 09:12:36.208576920,2021-03-01 09:22:06.953189700
46588846505903560909339263015016867868,2021-03-01 09:03:02.485926240,2021-03-01 09:12:49.949651280,2021-03-01 09:17:24.174014880
25087961914164086236802386211860723381,2021-03-01 09:04:04.604702280,2021-03-01 09:12:39.126429720,2021-03-01 09:25:22.372302360
327731178354599632823708856360568369780,2021-03-01 09:06:02.078332260,2021-03-01 09:14:37.420208340,2021-03-01 09:24:14.359893480
91924253781998216183880211554023974176,2021-03-01 09:06:03.009403020,2021-03-01 09:16:09.315034980,2021-03-01 09:19:46.380418680
25764547802675961446947788686901077170,2021-03-01 09:09:03.492838860,2021-03-01 09:17:25.889882040,2021-03-01 09:42:03.024296640
195483683817477298693156181836083238149,2021-03-01 09:10:04.533427800,2021-03-01 09:20:11.547099900,2021-03-01 09:22:35.375861460
248680003685965661553424698739459893783,2021-03-01 09:11:07.524979620,2021-03-01 09:20:49.631845560,2021-03-01 09:28:43.762599000
254773078162971619612833459395606539654,2021-03-01 09:11:18.347576760,2021-03-01 09:20:50.295209580,2021-03-01 09:30:33.481563900
73601893582315263991567869546626240437,2021-03-01 09:13:06.990064020,2021-03-01 09:21:50.290352280,2021-03-01 09:47:54.708873000
207776828480774324993367435839859943704,2021-03-01 09:15:06.855520260,2021-03-01 09:24:45.954816540,2021-03-01 09:27:22.311829860
86754704845577915886284266876681110895,2021-03-01 09:16:00.989278320,2021-03-01 09:26:22.076467920,2021-03-01 09:29:42.660206640
169995652425572083173304520126163998966,2021-03-01 09:16:02.724393660,2021-03-01 09:26:30.290365380,2021-03-01 09:40:43.525794600
247142847423489196491728636795028838110,2021-03-01 09:17:00.660789240,2021-03-01 09:24:47.547689340,2021-03-01 09:27:59.816104620
6524463818930860007114023592182177492,2021-03-01 09:19:10.700522100,2021-03-01 09:26:57.348835560,2021-03-01 09:30:56.757371940
23793336004341604016840855223663364214,2021-03-01 09:21:00.672418500,2021-03-01 09:29:33.203828580,2021-03-01 09:46:44.150684700
337344218477943021438574466990127617742,2021-03-01 09:23:00.429263160,2021-03-01 09:33:19.378921440,2021-03-01 09:48:56.676373800
110244403465167414518655135711566426041,2021-03-01 09:23:05.691087300,2021-03-01 09:30:57.052489560,2021-03-01 10:20:29.934793380
334575623403535113189526681458279523895,2021-03-01 09:25:01.027121340,2021-03-01 09:33:52.359364380,2021-03-01 09:39:51.469200360
194886429909285294537661198916351037328,2021-03-01 09:26:02.878643820,2021-03-01 09:36:10.199972700,2021-03-01 09:42:49.104965940
